Unnamed: 0,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,emg_9,glove_0,glove_1,glove_2,glove_3,glove_4,glove_5,glove_6,glove_7,glove_8,glove_9,glove_10,glove_11,glove_12,glove_13,glove_14,glove_15,glove_16,glove_17,glove_18,glove_19,glove_20,glove_21,exercise,stimulus,restimulus,repetition,rerepetition,subject
435,0.0024,0.0024,0.0146,0.0049,0.0024,0.0024,0.0439,0.0757,0.0073,0.0244,149.0,118.0,127.0,118.0,126.0,107.0,79.0,113.0,117.0,67.0,151.0,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,149.0,147.0,113.0,1,1,1,1,1,10
436,0.0024,0.0024,0.0244,0.0073,0.0024,0.0024,0.0513,0.0879,0.0098,0.0269,149.0,118.0,127.0,118.0,126.0,107.0,79.0,113.0,117.0,67.0,151.0,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,149.0,147.0,113.0,1,1,1,1,1,10
437,0.0024,0.0024,0.0244,0.0049,0.0049,0.0024,0.0488,0.1001,0.0098,0.0244,149.0,118.0,127.0,118.0,126.0,107.0,79.0,113.0,117.0,67.0,151.0,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,149.0,147.0,113.0,1,1,1,1,1,10
438,0.0024,0.0024,0.0171,0.0024,0.0024,0.0024,0.0464,0.1025,0.0024,0.022,149.0,118.0,127.0,118.0,126.0,107.0,79.0,113.0,117.0,67.0,151.0,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,149.0,147.0,113.0,1,1,1,1,1,10
439,0.0024,0.0024,0.0122,0.0024,0.0049,0.0024,0.0513,0.0977,0.0024,0.022,149.0,118.0,127.0,118.0,126.0,107.0,79.0,113.0,117.0,67.0,151.0,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,148.90891634980647,147.0,113.0,1,1,1,1,1,10
440,0.0024,0.0024,0.0073,0.0024,0.0024,0.0024,0.0562,0.1025,0.0024,0.022,149.0,118.0,127.0,118.0,126.0,107.0,79.0,113.0,117.0,67.0,151.0,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,148.65078036074763,147.0,113.0,1,1,1,1,1,10
441,0.0024,0.0024,0.0049,0.0024,0.0024,0.0024,0.0732,0.1074,0.0024,0.0244,149.0,118.0,127.0,118.0,126.0,107.0,79.0,113.0,117.0,67.0,151.0,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,148.3926443717827,147.0,113.0,1,1,1,1,1,10
442,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0732,0.105,0.0024,0.0269,149.0,118.0,127.0,118.0,126.0,107.0,79.0,113.0,117.0,67.0,151.0,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,148.13534536958264,147.0,113.0,1,1,1,1,1,10
443,0.0024,0.0098,0.0049,0.0049,0.0024,0.0024,0.0684,0.1001,0.0049,0.0317,148.87222022776444,118.0,127.0,118.12777977223556,125.87222022776444,107.0,79.0,113.0,117.0,67.0,150.87222022776444,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,147.7444404555289,147.0,113.0,1,1,1,1,1,10
444,0.0024,0.0244,0.0171,0.0073,0.0024,0.0024,0.0732,0.1001,0.0195,0.0366,148.60541446414393,118.0,127.0,118.39458553585608,125.60541446414392,107.0,79.0,113.0,117.0,67.0,150.60541446414393,128.0,104.0,69.0,160.0,128.0,129.0,86.0,141.0,147.21082892828784,147.0,113.0,1,1,1,1,1,10
